doctype,filename,url,title,operating_unit,project_id,document_category,pdc_document_type,document_id,modified,created,UN Languages,id,last_update,eval1,eval2,score,pages,project_title_cond,summary_desc_cond,project_id_cond,implementing_partner_cond,start_date_cond,end_date_cond,budget_cond,concept_note_cond,project_document_cond,awp_cond,v1,v2
document deleted,Enmienda 1 firmada.pdf,Document deleted,Enmienda 1 firmada,DOM,00119944,Project,PRODOC,ATLASPDC-4-100329,09/03/20,06/06/19,,0,16/03/21,ok,ok,2.0,49.0,False,False,False,False,True,False,True,True,True,False,ok,ok
document deleted,Revisión no. 2 - Prodoc MINERD firmada.pdf,Document deleted,Revisión no 2  Prodoc MINERD firmada,DOM,00119944,Project,PRODOC,ATLASPDC-4-123063,09/03/20,09/03/20,,0,16/03/21,ok,ok,2.0,32.0,False,False,False,False,True,False,True,True,True,False,ok,ok
document deleted,Enmienda 3 firmada (portada).pdf,Document deleted,Enmienda 3 firmada portada,DOM,00119944,Project,PRODOC,ATLASPDC-4-123064,09/03/20,09/03/20,,0,16/03/21,ok,not ok,0.0,1.0,False,False,False,False,False,False,False,False,False,False,ok,ok
document deleted,PNUD REVISION 4.pdf,Document deleted,PNUD REVISION 4,DOM,00119944,Project,PRODOC,ATLASPDC-4-123885,9/28/2020,9/28/2020,,0,16/03/21,ok,review,2.0,44.0,False,False,False,False,True,False,True,False,False,False,ok,ok
document deleted,IP_Signed.pdf,Document deleted,IP_Signed,FJI,00119946,Project,PRODOC,ATLASPDC-4-101650,7/14/2019,7/14/2019,,0,16/03/21,ok,ok,6.0,24.0,True,True,True,True,False,True,True,True,True,False,ok,ok
document deleted,SDGCC Nagaland_Prodoc_Final.pdf,Document deleted,119967_Prodoc_116290,IND,00119967,Project,PRODOC,ATLASPDC-4-127255,12/17/2020,12/17/2020,,0,16/03/21,ok,ok,6.0,52.0,True,True,False,True,True,True,True,False,True,False,ok,ok
document deleted,PRODOC_00116345.pdf,Document deleted,PRODOC_00116345,MEX,00119994,Project,PRODOC,ATLASPDC-4-115477,2/13/2020,2/13/2020,,0,16/03/21,ok,ok,2.0,38.0,False,True,False,False,False,False,True,True,False,False,ok,ok
document deleted,Annex 5- project proposals template Nepal LNOB_010819.pdf,Document deleted,LNOB Pilot Project for Nepal,NPL,00120017,Project,PRODOC,ATLASPDC-4-107599,10/31/2019,10/31/2019,,0,16/03/21,ok,review,1.0,10.0,False,False,False,False,False,False,True,False,False,False,ok,ok
document deleted,UNRCO funding proposal 2019-2020 Revised clean version 24 May 2019.pdf,Document deleted,Project proposal,NPL,00120017,Project,PRODOC,ATLASPDC-4-107654,10/31/2019,10/31/2019,,0,16/03/21,ok,ok,2.0,15.0,False,True,False,False,False,False,True,True,False,False,ok,ok
document deleted,Signed ACTION Project Document 2019.pdf,Document deleted,Action Project,AFG,00120040,Project,PRODOC,ATLASPDC-4-107637,3/20/2020,10/31/2019,,0,16/03/21,ok,ok,7.0,50.0,True,True,True,True,True,True,True,True,False,False,ok,ok
document deleted,ProDoc_INCOP_firmado_2019.pdf,Document deleted,ProDoc_INCOP_firmado_2019,CRI,00120078,Project,PRODOC,ATLASPDC-4-108365,11/12/19,11/12/19,,0,16/03/21,ok,ok,6.0,64.0,False,True,True,True,True,True,True,True,True,True,ok,ok
document deleted,Final prodoc El Salvador UNW and UNDP.pdf,Document deleted,Final prodoc El Salvador UNW and UNDP,SLV,00120079,Project,PRODOC,ATLASPDC-4-109638,12/19/2019,12/19/2019,,0,16/03/21,ok,ok,1.0,40.0,False,False,False,False,False,False,True,True,False,False,ok,ok
